# Scientific-name supersessions: a spelling that is no longer current, and the
# spelling this app writes instead. One direction only, superseded to current.
#
# Columns: superseded_name<TAB>canonical_name
#
# Derived from the BirdNET v2.4 and v3.0 label sets, 175 pairs. When
# regenerating against a new model release, a pair is only valid if the
# superseded name is NOT a live class of every model that ships. Skipping that
# check is what produced the duplicate-row bug described in
# docs/one-species-namespace.md, because BirdNET v3.0 carries 27 of these
# superseded spellings as classes of its own alongside the current ones.
Accipiter badius	Tachyspiza badia
Accipiter bicolor	Astur bicolor
Accipiter cirrocephalus	Tachyspiza cirrocephala
Accipiter cooperii	Astur cooperii
Accipiter fasciatus	Tachyspiza fasciata
Accipiter gentilis	Astur gentilis
Accipiter gularis	Tachyspiza gularis
Accipiter hiogaster	Tachyspiza hiogaster
Accipiter melanoleucus	Astur melanoleucus
Accipiter minullus	Tachyspiza minulla
Accipiter novaehollandiae	Tachyspiza novaehollandiae
Accipiter soloensis	Tachyspiza soloensis
Accipiter superciliosus	Microspizias superciliosus
Accipiter tachiro	Aerospiza tachiro
Accipiter trinotatus	Tachyspiza trinotata
Accipiter virgatus	Tachyspiza virgata
Alophoixus finschii	Iole finschii
Amblyornis newtoniana	Prionodura newtoniana
Antilophia bokermanni	Chiroxiphia bokermanni
Antilophia galeata	Chiroxiphia galeata
Anurolimnas fasciatus	Rufirallus fasciatus
Anurolimnas viridis	Rufirallus viridis
Apus melba	Tachymarptis melba
Brachypodius eutilotus	Microtarsus eutilotus
Brachypodius melanocephalos	Microtarsus melanocephalos
Brachypodius melanoleucos	Microtarsus melanoleucos
Brachypodius priocephalus	Microtarsus priocephalus
Brachypodius urostictus	Microtarsus urostictus
Bubo lacteus	Ketupa lactea
Bubo nipalensis	Ketupa nipalensis
Bubo sumatranus	Ketupa sumatrana
Bubulcus ibis	Ardea ibis
Buceros vigil	Rhinoplax vigil
Burhinus bistriatus	Hesperoburhinus bistriatus
Burhinus superciliaris	Hesperoburhinus superciliaris
Cacomantis leucolophus	Caliechthrus leucolophus
Cacomantis pallidus	Heteroscenes pallidus
Calocitta colliei	Cyanocorax colliei
Calocitta formosa	Cyanocorax formosus
Calyptorhynchus funereus	Zanda funerea
Calyptorhynchus latirostris	Zanda latirostris
Cercotrichas barbata	Tychaedon barbata
Cercotrichas coryphoeus	Tychaedon coryphoeus
Cercotrichas quadrivirgata	Tychaedon quadrivirgata
Cercotrichas signata	Tychaedon signata
Charadrius alexandrinus	Anarhynchus alexandrinus
Charadrius bicinctus	Anarhynchus bicinctus
Charadrius collaris	Anarhynchus collaris
Charadrius dubius	Thinornis dubius
Charadrius falklandicus	Anarhynchus falklandicus
Charadrius leschenaultii	Anarhynchus leschenaultii
Charadrius modestus	Zonibyx modestus
Charadrius mongolus	Anarhynchus mongolus
Charadrius montanus	Anarhynchus montanus
Charadrius morinellus	Eudromias morinellus
Charadrius nivosus	Anarhynchus nivosus
Charadrius peronii	Anarhynchus peronii
Charadrius placidus	Thinornis placidus
Charadrius tricollaris	Thinornis tricollaris
Charadrius wilsonia	Anarhynchus wilsonia
Chloropicus fuscescens	Dendropicos fuscescens
Chloropicus goertae	Dendropicos goertae
Chloropicus griseocephalus	Dendropicos griseocephalus
Chloropicus spodocephalus	Dendropicos spodocephalus
Cholornis unicolor	Paradoxornis unicolor
Chrysococcyx basalis	Chalcites basalis
Chrysococcyx lucidus	Chalcites lucidus
Chrysococcyx minutillus	Chalcites minutillus
Chrysococcyx osculans	Chalcites osculans
Ciccaba albitarsis	Strix albitarsis
Ciccaba huhula	Strix huhula
Ciccaba nigrolineata	Strix nigrolineata
Ciccaba virgata	Strix virgata
Cicinnurus magnificus	Diphyllodes magnificus
Cicinnurus respublica	Diphyllodes respublica
Clytolaema rubricauda	Heliodoxa rubricauda
Columba larvata	Aplopelia larvata
Coracina cinerea	Ceblepyris cinereus
Coracina pectoralis	Ceblepyris pectoralis
Corvus dauuricus	Coloeus dauuricus
Corvus monedula	Coloeus monedula
Corythaixoides concolor	Crinifer concolor
Corythaixoides leucogaster	Crinifer leucogaster
Cossypha anomala	Dessonornis anomalus
Cossypha archeri	Dessonornis archeri
Cossypha humeralis	Dessonornis humeralis
Cracticus quoyi	Melloria quoyi
Cranioleuca gutturata	Thripophaga gutturata
Crateroscelis murina	Origma murina
Crateroscelis robusta	Origma robusta
Cyornis hoevelli	Eumyias hoevelli
Dinopium rafflesii	Gecinulus rafflesii
Dryotriorchis spectabilis	Circaetus spectabilis
Elseyornis melanops	Thinornis melanops
Eupodotis afra	Afrotis afra
Eupodotis afraoides	Afrotis afraoides
Eupodotis ruficrista	Lophotis ruficrista
Eupodotis vigorsii	Heterotetrax vigorsii
Habia atrimaxillaris	Driophlox atrimaxillaris
Habia cristata	Driophlox cristata
Habia fuscicauda	Driophlox fuscicauda
Habia gutturalis	Driophlox gutturalis
Haliaeetus humilis	Icthyophaga humilis
Haliaeetus ichthyaetus	Icthyophaga ichthyaetus
Haliaeetus leucogaster	Icthyophaga leucogaster
Haliaeetus vocifer	Icthyophaga vocifer
Hapalocrex flaviventer	Laterallus flaviventer
Herpsilochmus sellowi	Radinopsyche sellowi
Hydropsalis maculicaudus	Antiurus maculicaudus
Ixobrychus cinnamomeus	Botaurus cinnamomeus
Ixobrychus dubius	Botaurus dubius
Ixobrychus eurhythmus	Botaurus eurhythmus
Ixobrychus exilis	Botaurus exilis
Ixobrychus flavicollis	Botaurus flavicollis
Ixobrychus involucris	Botaurus involucris
Ixobrychus minutus	Botaurus minutus
Ixobrychus sinensis	Botaurus sinensis
Laterallus leucopyrrhus	Rufirallus leucopyrrhus
Laterallus xenopterus	Rufirallus xenopterus
Lophochroa leadbeateri	Cacatua leadbeateri
Lybius bidentatus	Pogonornis bidentatus
Melaenornis silens	Sigelus silens
Micropygia schomburgkii	Rufirallus schomburgkii
Milvago chimachima	Daptrius chimachima
Milvago chimango	Daptrius chimango
Mirafra affinis	Plocealauda affinis
Mirafra africana	Corypha africana
Mirafra apiata	Corypha apiata
Mirafra assamica	Plocealauda assamica
Mirafra erythrocephala	Plocealauda erythrocephala
Mirafra erythroptera	Plocealauda erythroptera
Mirafra fasciolata	Corypha fasciolata
Mirafra rufocinnamomea	Amirafra rufocinnamomea
Musophaga rossae	Tauraco rossae
Neocossyphus finschi	Stizorhina finschi
Neocossyphus fraseri	Stizorhina fraseri
Nyctibius bracteatus	Phyllaemulor bracteatus
Ochthoeca diadema	Silvicultrix diadema
Ochthoeca frontalis	Silvicultrix frontalis
Ochthoeca jelskii	Silvicultrix jelskii
Ochthoeca pulchella	Silvicultrix pulchella
Otocichla mupinensis	Turdus mupinensis
Peneothello cyanus	Melanodryas cyanus
Peneothello sigillata	Melanodryas sigillata
Philydor erythrocercum	Neophilydor erythrocercum
Philydor fuscipenne	Neophilydor fuscipenne
Phyllomyias cinereiceps	Tyranniscus cinereiceps
Phyllomyias nigrocapillus	Tyranniscus nigrocapillus
Phyllomyias uropygialis	Tyranniscus uropygialis
Phylloscartes difficilis	Pogonotriccus difficilis
Phylloscartes eximius	Pogonotriccus eximius
Phylloscartes lanyoni	Pogonotriccus lanyoni
Phylloscartes ophthalmicus	Pogonotriccus ophthalmicus
Phylloscartes paulista	Pogonotriccus paulista
Phylloscartes poecilotis	Pogonotriccus poecilotis
Pitangus lictor	Philohydor lictor
Psephotus varius	Psephotellus varius
Pseudeos cardinalis	Chalcopsitta cardinalis
Psophocichla litsitsirupa	Turdus litsitsirupa
Rhodothraupis celaeno	Periporphyrus celaeno
Sakesphorus cristatus	Sakesphoroides cristatus
Sericornis citreogularis	Neosericornis citreogularis
Sinosuthora webbiana	Suthora webbiana
Streptopelia chinensis	Spilopelia chinensis
Streptopelia senegalensis	Spilopelia senegalensis
Systellura decussata	Quechuavis decussata
Tauraco porphyreolophus	Gallirex porphyreolophus
Telophorus bocagei	Chlorophoneus bocagei
Telophorus nigrifrons	Chlorophoneus nigrifrons
Telophorus olivaceus	Chlorophoneus olivaceus
Telophorus sulfureopectus	Chlorophoneus sulfureopectus
Tregellasia capito	Eopsaltria capito
Tumbezia salvini	Ochthoeca salvini
Urosphena pallidipes	Hemitesia pallidipes
Vanellus cayanus	Hoploxypterus cayanus
